stim_name,target_bg,l_probe,isBrighter,resp_time
whites,w,0.22,RIGHT,102.498
whites,w,0.16,RIGHT,6.49
whites,b,0.9,RIGHT,5.721
whites,w,0.28,RIGHT,3.649
whites,w,0.1,RIGHT,5.81
whites,b,0.6,RIGHT,3.872
whites,w,0.4,RIGHT,6.449
whites,b,0.78,RIGHT,5.891
whites,b,0.9,RIGHT,3.132
whites,b,0.66,LEFT,3.212
whites,b,0.6,RIGHT,6.656
whites,b,0.6,RIGHT,5.979
whites,w,0.16,RIGHT,6.286
whites,b,0.84,RIGHT,3.111
whites,w,0.1,RIGHT,3.083
whites,b,0.78,RIGHT,3.282
whites,w,0.28,RIGHT,6.174
whites,w,0.28,RIGHT,3.362
whites,b,0.6,LEFT,6.543
whites,w,0.34,RIGHT,6.009
whites,b,0.78,RIGHT,6.165
whites,b,0.84,RIGHT,3.141
whites,b,0.6,LEFT,3.423
whites,b,0.72,RIGHT,6.031
whites,b,0.84,RIGHT,6.26
whites,w,0.34,RIGHT,3.575
whites,b,0.72,RIGHT,5.959
whites,b,0.78,RIGHT,6.232
whites,b,0.66,RIGHT,6.779
whites,w,0.28,RIGHT,6.615
whites,w,0.28,RIGHT,6.202
whites,w,0.22,RIGHT,3.299
whites,b,0.66,RIGHT,7.841
whites,b,0.6,RIGHT,6.856
whites,b,0.78,RIGHT,5.922
whites,b,0.9,RIGHT,3.009
whites,w,0.4,RIGHT,3.591
whites,w,0.4,RIGHT,6.024
whites,b,0.72,RIGHT,5.651
whites,b,0.78,RIGHT,6.268
whites,w,0.1,RIGHT,3.078
whites,w,0.22,RIGHT,3.455
whites,b,0.72,RIGHT,6.043
whites,b,0.6,RIGHT,6.316
whites,w,0.4,RIGHT,3.132
whites,w,0.1,RIGHT,2.994
whites,b,0.72,RIGHT,3.329
whites,b,0.9,RIGHT,9.147
whites,b,0.9,RIGHT,6.343
whites,b,0.84,RIGHT,3.785
whites,b,0.72,RIGHT,6.399
whites,b,0.9,RIGHT,6.652
whites,b,0.6,RIGHT,8.102
whites,w,0.34,RIGHT,6.18
whites,b,0.66,RIGHT,6.352
whites,w,0.4,RIGHT,7.262
whites,w,0.22,RIGHT,5.919
whites,b,0.66,RIGHT,6.155
whites,w,0.1,RIGHT,3.417
whites,b,0.6,RIGHT,6.343
whites,b,0.9,RIGHT,6.043
whites,b,0.84,RIGHT,6.222
whites,w,0.34,LEFT,4.834
whites,w,0.28,RIGHT,5.876
whites,w,0.34,LEFT,3.243
whites,b,0.78,RIGHT,6.154
whites,b,0.78,RIGHT,2.478
whites,b,0.84,RIGHT,6.351
whites,w,0.22,RIGHT,3.262
whites,w,0.16,RIGHT,3.061
whites,w,0.28,RIGHT,3.113
whites,w,0.22,RIGHT,3.286
whites,b,0.72,RIGHT,6.268
whites,w,0.28,RIGHT,3.211
whites,w,0.16,RIGHT,6.306
whites,w,0.16,RIGHT,2.307
whites,b,0.9,RIGHT,6.583
whites,w,0.1,RIGHT,3.265
whites,b,0.6,LEFT,6.703
whites,w,0.16,RIGHT,5.921
whites,w,0.16,RIGHT,6.272
whites,b,0.84,RIGHT,3.634
whites,w,0.1,RIGHT,6.106
whites,w,0.4,RIGHT,6.131
whites,b,0.66,RIGHT,6.039
whites,w,0.1,RIGHT,3.373
whites,b,0.84,RIGHT,3.142
whites,b,0.66,RIGHT,6.316
whites,w,0.16,RIGHT,3.14
whites,w,0.22,RIGHT,3.145
whites,w,0.4,LEFT,6.591
whites,w,0.1,RIGHT,6.184
whites,w,0.22,RIGHT,6.307
whites,w,0.22,RIGHT,6.577
whites,b,0.72,RIGHT,3.153
whites,b,0.78,RIGHT,6.261
whites,b,0.72,RIGHT,6.177
whites,w,0.34,RIGHT,3.867
whites,w,0.34,RIGHT,6.415
whites,w,0.34,RIGHT,6.488
whites,w,0.28,RIGHT,6.454
whites,w,0.4,LEFT,6.731
whites,b,0.66,RIGHT,5.987
whites,b,0.9,RIGHT,3.507
whites,w,0.4,RIGHT,6.808
whites,w,0.34,RIGHT,7.069
whites,b,0.78,RIGHT,5.996
whites,w,0.34,RIGHT,3.884
whites,w,0.16,RIGHT,6.277
whites,b,0.66,RIGHT,3.745
whites,b,0.84,RIGHT,6.252
whites,w,0.1,RIGHT,3.816
whites,w,0.4,LEFT,10.265
whites,b,0.9,RIGHT,6.068
whites,b,0.66,RIGHT,3.324
whites,b,0.72,RIGHT,6.207
whites,w,0.16,RIGHT,6.109
whites,b,0.84,RIGHT,3.066
whites,w,0.28,RIGHT,3.267
whites,w,0.22,RIGHT,3.063
