stim_name,target_bg,l_probe,isBrighter,resp_time
whites,b,0.9,RIGHT,6.613
whites,b,0.66,RIGHT,10.903
whites,w,0.16,RIGHT,6.755
whites,b,0.66,RIGHT,10.253
whites,b,0.72,RIGHT,6.471
whites,w,0.34,RIGHT,8.271
whites,w,0.34,RIGHT,10.786
whites,w,0.1,RIGHT,6.847
whites,w,0.22,RIGHT,6.395
whites,b,0.84,RIGHT,6.811
whites,b,0.66,LEFT,7.442
whites,b,0.72,RIGHT,17.311
whites,w,0.1,RIGHT,6.453
whites,w,0.28,RIGHT,7.23
whites,w,0.22,RIGHT,6.241
whites,w,0.1,RIGHT,6.843
whites,b,0.6,LEFT,8.25
whites,b,0.9,RIGHT,6.755
whites,w,0.1,RIGHT,6.664
whites,w,0.22,RIGHT,6.631
whites,w,0.34,LEFT,9.493
whites,w,0.4,LEFT,6.953
whites,b,0.78,RIGHT,6.361
whites,w,0.16,RIGHT,6.134
whites,b,0.9,RIGHT,6.67
whites,w,0.4,LEFT,7.294
whites,b,0.78,RIGHT,7.291
whites,b,0.66,RIGHT,11.493
whites,w,0.34,RIGHT,8.72
whites,w,0.4,RIGHT,8.223
whites,w,0.4,LEFT,11.851
whites,b,0.78,RIGHT,6.75
whites,b,0.9,RIGHT,6.295
whites,b,0.78,RIGHT,6.243
whites,w,0.34,RIGHT,7.229
whites,w,0.28,RIGHT,7.099
whites,b,0.66,LEFT,10.041
whites,b,0.84,RIGHT,6.631
whites,b,0.6,LEFT,9.138
whites,w,0.28,RIGHT,6.737
whites,b,0.66,LEFT,9.736
whites,b,0.9,RIGHT,6.512
whites,w,0.1,RIGHT,6.366
whites,w,0.16,RIGHT,6.305
whites,b,0.66,RIGHT,4.732
whites,b,0.84,RIGHT,6.84
whites,b,0.78,RIGHT,6.322
whites,w,0.22,RIGHT,7.264
whites,w,0.22,RIGHT,7.418
whites,b,0.72,RIGHT,6.378
whites,b,0.72,RIGHT,6.604
whites,b,0.72,RIGHT,7.104
whites,w,0.22,RIGHT,7.007
whites,b,0.66,RIGHT,6.205
whites,b,0.84,RIGHT,6.261
whites,b,0.9,RIGHT,6.2
whites,b,0.84,RIGHT,7.142
whites,b,0.6,LEFT,8.54
whites,b,0.6,LEFT,6.461
whites,w,0.4,LEFT,8.269
whites,b,0.78,RIGHT,6.167
whites,b,0.78,RIGHT,7.864
whites,b,0.84,RIGHT,7.716
whites,w,0.16,RIGHT,6.521
whites,w,0.4,LEFT,6.92
whites,w,0.34,LEFT,8.198
whites,b,0.9,RIGHT,6.23
whites,w,0.28,RIGHT,4.931
whites,w,0.16,RIGHT,6.407
whites,w,0.22,RIGHT,6.438
whites,b,0.84,RIGHT,7.206
whites,w,0.4,LEFT,7.202
whites,w,0.28,RIGHT,7.53
whites,b,0.6,LEFT,10.869
whites,b,0.6,LEFT,7.737
whites,b,0.84,RIGHT,6.903
whites,w,0.16,RIGHT,6.363
whites,w,0.28,RIGHT,7.181
whites,b,0.72,RIGHT,6.211
whites,b,0.9,RIGHT,6.051
whites,w,0.4,LEFT,7.601
whites,w,0.4,LEFT,8.255
whites,w,0.28,RIGHT,6.364
whites,w,0.1,RIGHT,6.01
whites,w,0.22,RIGHT,6.775
whites,b,0.84,RIGHT,6.558
whites,b,0.6,LEFT,11.978
whites,b,0.9,RIGHT,6.306
whites,b,0.6,RIGHT,6.548
whites,b,0.78,RIGHT,8.752
whites,w,0.16,RIGHT,5.915
whites,b,0.9,RIGHT,7.236
whites,b,0.6,LEFT,6.868
whites,w,0.22,RIGHT,6.168
whites,w,0.34,LEFT,9.947
whites,w,0.34,RIGHT,7.631
whites,w,0.22,RIGHT,7.009
whites,w,0.16,RIGHT,6.573
whites,b,0.78,RIGHT,6.855
whites,w,0.4,LEFT,8.001
whites,b,0.66,RIGHT,7.79
whites,w,0.1,RIGHT,6.26
whites,b,0.6,LEFT,8.356
whites,w,0.28,RIGHT,6.029
whites,w,0.28,RIGHT,3.255
whites,w,0.1,RIGHT,6.224
whites,w,0.1,RIGHT,6.347
whites,w,0.28,RIGHT,6.466
whites,b,0.78,RIGHT,6.754
whites,b,0.84,RIGHT,6.505
whites,b,0.72,LEFT,13.121
whites,b,0.72,RIGHT,9.139
whites,w,0.34,LEFT,8.304
whites,w,0.16,RIGHT,6.307
whites,w,0.16,RIGHT,6.075
whites,w,0.34,LEFT,7.716
whites,w,0.1,RIGHT,6.369
whites,b,0.66,RIGHT,8.861
whites,b,0.72,LEFT,9.572
whites,b,0.72,RIGHT,7.082
