stim_name,target_bg,l_probe,isBrighter,resp_time
whites,b,0.56,RIGHT,7.501
whites,b,0.53,LEFT,101.002
whites,b,0.56,LEFT,35.835
whites,b,0.53,LEFT,71.656
whites,b,0.53,LEFT,6.716
whites,b,0.53,RIGHT,6.527
whites,b,0.53,LEFT,6.34
whites,b,0.53,RIGHT,8.031
whites,b,0.53,LEFT,7.688
whites,b,0.56,LEFT,6.745
whites,b,0.56,RIGHT,7.384
whites,b,0.56,RIGHT,6.96
whites,b,0.53,RIGHT,6.995
whites,b,0.56,LEFT,6.005
whites,b,0.56,RIGHT,7.033
whites,b,0.53,LEFT,6.372
whites,b,0.56,LEFT,8.318
whites,b,0.56,RIGHT,9.337
whites,b,0.53,LEFT,6.408
whites,b,0.56,LEFT,6.655
