stim_name,target_bg,l_probe,isBrighter,resp_time
whites,w,0.4,RIGHT,7.953
whites,b,0.6,RIGHT,6.749
whites,b,0.66,RIGHT,6.123
whites,w,0.1,RIGHT,3.426
whites,w,0.34,RIGHT,6.566
whites,w,0.34,RIGHT,6.73
whites,w,0.16,RIGHT,6.054
whites,w,0.4,LEFT,7.456
whites,b,0.6,RIGHT,6.983
whites,b,0.72,RIGHT,7.145
whites,b,0.66,RIGHT,6.491
whites,w,0.22,RIGHT,6.017
whites,w,0.34,RIGHT,6.609
whites,b,0.6,LEFT,6.286
whites,b,0.9,RIGHT,6.128
whites,b,0.72,RIGHT,6.323
whites,w,0.22,RIGHT,7.181
whites,w,0.4,RIGHT,12.021
whites,w,0.16,RIGHT,6.472
whites,w,0.1,RIGHT,7.153
whites,w,0.22,RIGHT,5.909
whites,b,0.66,LEFT,8.742
whites,w,0.22,RIGHT,6.176
whites,b,0.72,RIGHT,6.746
whites,w,0.22,RIGHT,5.917
whites,w,0.16,RIGHT,6.098
whites,w,0.1,RIGHT,4.043
whites,w,0.16,RIGHT,6.047
whites,w,0.34,RIGHT,6.33
whites,b,0.72,RIGHT,6.187
whites,w,0.34,RIGHT,10.295
whites,b,0.66,RIGHT,7.952
whites,b,0.78,RIGHT,6.459
whites,b,0.84,RIGHT,3.906
whites,w,0.4,RIGHT,12.586
whites,b,0.6,RIGHT,7.162
whites,b,0.66,RIGHT,6.733
whites,b,0.6,LEFT,6.271
whites,b,0.9,RIGHT,5.975
whites,b,0.84,RIGHT,6.266
whites,w,0.34,RIGHT,5.06
whites,b,0.72,RIGHT,6.532
whites,b,0.9,RIGHT,4.101
whites,w,0.1,RIGHT,6.043
whites,b,0.84,RIGHT,6.047
whites,w,0.22,RIGHT,3.562
whites,w,0.16,RIGHT,5.801
whites,b,0.78,RIGHT,3.588
whites,w,0.1,RIGHT,5.878
whites,b,0.78,RIGHT,3.635
whites,w,0.16,RIGHT,5.858
whites,b,0.84,RIGHT,3.963
whites,w,0.28,RIGHT,6.188
whites,b,0.78,RIGHT,6.334
whites,b,0.9,RIGHT,3.504
whites,b,0.72,RIGHT,6.397
whites,b,0.84,RIGHT,5.945
whites,b,0.66,RIGHT,8.386
whites,b,0.72,RIGHT,6.673
whites,b,0.9,RIGHT,6.171
whites,w,0.28,RIGHT,5.923
whites,b,0.72,RIGHT,9.657
whites,b,0.66,RIGHT,6.882
whites,b,0.72,RIGHT,6.0
whites,b,0.78,RIGHT,6.257
whites,w,0.1,RIGHT,6.895
whites,b,0.6,RIGHT,10.37
whites,b,0.9,RIGHT,6.962
whites,b,0.84,RIGHT,6.073
whites,b,0.78,RIGHT,6.443
whites,w,0.1,RIGHT,6.053
whites,w,0.1,RIGHT,3.509
whites,w,0.1,RIGHT,6.496
whites,b,0.78,RIGHT,7.195
whites,w,0.4,LEFT,6.498
whites,b,0.84,RIGHT,6.676
whites,b,0.6,LEFT,6.537
whites,b,0.84,RIGHT,5.997
whites,b,0.9,RIGHT,3.381
whites,w,0.4,LEFT,6.465
whites,w,0.22,RIGHT,5.96
whites,b,0.78,RIGHT,6.298
whites,b,0.9,RIGHT,3.791
whites,b,0.66,RIGHT,7.194
whites,w,0.34,RIGHT,6.715
whites,b,0.6,RIGHT,6.649
whites,b,0.66,RIGHT,5.892
whites,b,0.66,RIGHT,3.685
whites,b,0.84,RIGHT,6.33
whites,w,0.1,RIGHT,4.872
whites,w,0.28,RIGHT,6.616
whites,w,0.22,RIGHT,6.264
whites,w,0.4,LEFT,4.896
whites,b,0.9,RIGHT,6.342
whites,b,0.9,RIGHT,2.543
whites,w,0.16,RIGHT,6.968
whites,w,0.22,RIGHT,6.111
whites,w,0.28,RIGHT,6.409
whites,w,0.22,RIGHT,6.276
whites,w,0.28,RIGHT,6.451
whites,b,0.6,RIGHT,3.451
whites,w,0.28,RIGHT,5.996
whites,w,0.4,LEFT,7.813
whites,w,0.28,RIGHT,6.444
whites,w,0.34,RIGHT,7.661
whites,w,0.4,RIGHT,7.82
whites,w,0.34,RIGHT,9.821
whites,w,0.28,RIGHT,7.289
whites,b,0.72,RIGHT,6.413
whites,w,0.34,RIGHT,10.194
whites,w,0.28,RIGHT,6.401
whites,b,0.84,RIGHT,6.283
whites,b,0.6,RIGHT,7.486
whites,w,0.16,RIGHT,6.501
whites,b,0.78,RIGHT,3.487
whites,w,0.16,RIGHT,5.998
whites,w,0.28,RIGHT,6.327
whites,b,0.78,RIGHT,6.515
whites,w,0.4,LEFT,6.692
whites,w,0.16,RIGHT,5.93
