stim_name,target_bg,l_probe,isBrighter,resp_time
sbcs,w,0.28,LEFT,32.546
sbcs,w,0.28,LEFT,7.681
sbcs,w,0.1,LEFT,8.58
sbcs,w,0.4,LEFT,7.85
sbcs,b,0.9,RIGHT,7.087
sbcs,w,0.1,LEFT,9.847
sbcs,b,0.66,LEFT,7.189
sbcs,w,0.16,LEFT,9.06
sbcs,b,0.78,RIGHT,7.327
sbcs,b,0.72,LEFT,8.915
sbcs,w,0.16,LEFT,9.896
sbcs,w,0.34,LEFT,7.446
sbcs,w,0.22,LEFT,8.011
sbcs,w,0.1,RIGHT,7.569
sbcs,b,0.6,LEFT,8.029
sbcs,w,0.34,LEFT,7.616
sbcs,w,0.28,LEFT,8.363
sbcs,w,0.22,LEFT,8.013
sbcs,b,0.6,LEFT,6.977
sbcs,w,0.22,LEFT,13.191
sbcs,b,0.72,LEFT,13.821
sbcs,w,0.34,LEFT,7.283
sbcs,b,0.66,LEFT,7.601
sbcs,b,0.9,RIGHT,6.421
sbcs,w,0.22,LEFT,7.342
sbcs,w,0.1,RIGHT,7.866
sbcs,w,0.4,LEFT,6.357
sbcs,b,0.6,LEFT,6.727
sbcs,b,0.72,LEFT,7.993
sbcs,w,0.34,LEFT,7.582
sbcs,w,0.28,LEFT,8.559
sbcs,w,0.28,LEFT,8.944
sbcs,w,0.22,LEFT,8.625
sbcs,w,0.1,RIGHT,7.534
sbcs,b,0.84,RIGHT,7.229
sbcs,w,0.34,LEFT,7.74
sbcs,b,0.84,RIGHT,7.191
sbcs,b,0.78,LEFT,7.98
sbcs,b,0.78,RIGHT,9.954
sbcs,b,0.66,LEFT,6.816
sbcs,w,0.4,LEFT,6.71
sbcs,b,0.78,RIGHT,6.777
sbcs,b,0.9,RIGHT,6.54
sbcs,b,0.78,RIGHT,8.662
sbcs,w,0.34,LEFT,6.922
sbcs,w,0.22,LEFT,8.512
sbcs,w,0.16,LEFT,7.537
sbcs,w,0.34,LEFT,6.164
sbcs,b,0.84,RIGHT,6.833
sbcs,b,0.78,RIGHT,7.213
sbcs,b,0.9,RIGHT,6.587
sbcs,b,0.72,LEFT,9.123
sbcs,b,0.6,LEFT,9.352
sbcs,b,0.9,RIGHT,6.697
sbcs,w,0.16,LEFT,8.212
sbcs,b,0.6,LEFT,6.797
sbcs,b,0.84,RIGHT,6.422
sbcs,b,0.72,LEFT,8.103
sbcs,b,0.78,LEFT,9.274
sbcs,b,0.72,LEFT,7.135
sbcs,b,0.84,RIGHT,6.86
sbcs,b,0.72,LEFT,4.107
sbcs,b,0.66,RIGHT,2.799
sbcs,w,0.16,LEFT,7.883
sbcs,b,0.9,RIGHT,6.601
sbcs,w,0.4,LEFT,6.74
sbcs,b,0.84,RIGHT,7.176
sbcs,w,0.28,LEFT,6.727
sbcs,b,0.6,LEFT,7.162
sbcs,b,0.84,RIGHT,6.375
sbcs,b,0.78,RIGHT,6.75
sbcs,w,0.28,LEFT,7.278
sbcs,b,0.6,LEFT,6.947
sbcs,b,0.6,LEFT,6.753
sbcs,w,0.34,LEFT,6.952
sbcs,b,0.78,RIGHT,6.769
sbcs,w,0.4,LEFT,7.175
sbcs,b,0.72,LEFT,11.77
sbcs,w,0.1,RIGHT,6.522
sbcs,b,0.66,LEFT,9.728
sbcs,w,0.4,LEFT,6.796
sbcs,b,0.6,LEFT,7.392
sbcs,w,0.1,RIGHT,6.954
sbcs,b,0.9,RIGHT,6.212
sbcs,w,0.16,LEFT,7.545
sbcs,w,0.4,LEFT,6.767
sbcs,b,0.72,LEFT,7.462
sbcs,w,0.16,LEFT,8.333
sbcs,b,0.66,LEFT,7.942
sbcs,b,0.84,RIGHT,6.354
sbcs,b,0.66,LEFT,6.751
sbcs,b,0.9,RIGHT,6.64
sbcs,b,0.78,LEFT,8.549
sbcs,w,0.28,LEFT,6.78
sbcs,b,0.66,LEFT,6.795
sbcs,w,0.28,LEFT,6.941
sbcs,w,0.4,LEFT,6.708
sbcs,w,0.34,LEFT,6.467
sbcs,w,0.1,LEFT,9.765
sbcs,w,0.22,LEFT,7.713
sbcs,b,0.6,LEFT,6.265
sbcs,w,0.34,LEFT,7.172
sbcs,w,0.16,LEFT,6.973
sbcs,w,0.22,LEFT,7.245
sbcs,w,0.1,LEFT,8.442
sbcs,w,0.22,LEFT,7.115
sbcs,w,0.16,LEFT,8.404
sbcs,w,0.4,LEFT,10.188
sbcs,b,0.9,RIGHT,7.808
sbcs,w,0.1,LEFT,8.274
sbcs,b,0.84,RIGHT,7.404
sbcs,b,0.72,LEFT,7.474
sbcs,w,0.28,LEFT,7.204
sbcs,b,0.84,RIGHT,7.109
sbcs,b,0.66,LEFT,7.733
sbcs,w,0.4,LEFT,7.379
sbcs,w,0.22,LEFT,9.17
sbcs,b,0.9,RIGHT,6.571
sbcs,w,0.16,LEFT,6.597
sbcs,b,0.66,LEFT,7.531
