trial,stim_name,target_bg,l_probe
0,whites,w,0.16
1,whites,w,0.1
2,whites,w,0.22
3,whites,b,0.9
4,whites,w,0.1
5,whites,w,0.28
6,whites,w,0.16
7,whites,w,0.34
8,whites,w,0.34
9,whites,w,0.22
10,whites,b,0.72
11,whites,b,0.6
12,whites,b,0.6
13,whites,b,0.78
14,whites,b,0.72
15,whites,w,0.4
16,whites,b,0.78
17,whites,w,0.34
18,whites,b,0.9
19,whites,w,0.22
20,whites,w,0.4
21,whites,b,0.6
22,whites,b,0.66
23,whites,w,0.34
24,whites,w,0.22
25,whites,b,0.84
26,whites,w,0.4
27,whites,w,0.1
28,whites,w,0.4
29,whites,w,0.16
30,whites,w,0.34
31,whites,b,0.6
32,whites,b,0.84
33,whites,b,0.72
34,whites,w,0.1
35,whites,w,0.16
36,whites,b,0.6
37,whites,b,0.66
38,whites,b,0.84
39,whites,b,0.9
40,whites,w,0.1
41,whites,w,0.16
42,whites,b,0.84
43,whites,w,0.34
44,whites,b,0.84
45,whites,b,0.66
46,whites,w,0.4
47,whites,w,0.16
48,whites,b,0.78
49,whites,w,0.22
50,whites,w,0.4
51,whites,b,0.66
52,whites,w,0.34
53,whites,w,0.28
54,whites,w,0.34
55,whites,w,0.16
56,whites,b,0.6
57,whites,w,0.28
58,whites,b,0.78
59,whites,b,0.72
60,whites,w,0.34
61,whites,b,0.9
62,whites,b,0.6
63,whites,w,0.22
64,whites,w,0.4
65,whites,w,0.28
66,whites,w,0.22
67,whites,w,0.22
68,whites,w,0.1
69,whites,w,0.4
70,whites,b,0.78
71,whites,w,0.28
72,whites,w,0.28
73,whites,b,0.72
74,whites,b,0.72
75,whites,b,0.66
76,whites,w,0.1
77,whites,b,0.78
78,whites,b,0.9
79,whites,w,0.28
80,whites,b,0.9
81,whites,b,0.72
82,whites,w,0.16
83,whites,w,0.4
84,whites,b,0.66
85,whites,b,0.66
86,whites,b,0.66
87,whites,b,0.78
88,whites,b,0.9
89,whites,b,0.9
90,whites,b,0.6
91,whites,b,0.66
92,whites,w,0.4
93,whites,b,0.84
94,whites,w,0.34
95,whites,b,0.72
96,whites,w,0.16
97,whites,b,0.66
98,whites,b,0.84
99,whites,w,0.1
100,whites,w,0.1
101,whites,b,0.9
102,whites,b,0.9
103,whites,b,0.84
104,whites,w,0.1
105,whites,w,0.22
106,whites,w,0.28
107,whites,b,0.72
108,whites,b,0.78
109,whites,b,0.78
110,whites,w,0.22
111,whites,b,0.78
112,whites,b,0.72
113,whites,w,0.16
114,whites,b,0.84
115,whites,w,0.28
116,whites,w,0.28
117,whites,b,0.6
118,whites,b,0.84
119,whites,b,0.6
