trial,stim_name,target_bg,l_probe
0,whites,b,0.78
1,whites,b,0.9
2,whites,w,0.34
3,whites,b,0.72
4,whites,w,0.22
5,whites,w,0.4
6,whites,b,0.78
7,whites,b,0.72
8,whites,w,0.28
9,whites,w,0.28
10,whites,w,0.28
11,whites,b,0.78
12,whites,b,0.9
13,whites,w,0.4
14,whites,b,0.9
15,whites,b,0.6
16,whites,b,0.9
17,whites,w,0.22
18,whites,w,0.16
19,whites,b,0.84
20,whites,b,0.72
21,whites,b,0.66
22,whites,w,0.1
23,whites,w,0.28
24,whites,w,0.1
25,whites,w,0.22
26,whites,w,0.28
27,whites,w,0.16
28,whites,b,0.72
29,whites,b,0.9
30,whites,b,0.84
31,whites,w,0.22
32,whites,w,0.16
33,whites,w,0.16
34,whites,w,0.34
35,whites,b,0.84
36,whites,w,0.16
37,whites,w,0.22
38,whites,w,0.4
39,whites,w,0.1
40,whites,b,0.66
41,whites,b,0.84
42,whites,w,0.16
43,whites,b,0.66
44,whites,b,0.66
45,whites,w,0.34
46,whites,w,0.34
47,whites,b,0.6
48,whites,b,0.6
49,whites,b,0.78
50,whites,w,0.1
51,whites,b,0.84
52,whites,w,0.16
53,whites,w,0.1
54,whites,w,0.22
55,whites,w,0.1
56,whites,b,0.6
57,whites,w,0.16
58,whites,b,0.84
59,whites,b,0.84
60,whites,b,0.66
61,whites,b,0.6
62,whites,b,0.72
63,whites,b,0.84
64,whites,b,0.72
65,whites,w,0.22
66,whites,w,0.4
67,whites,w,0.4
68,whites,b,0.78
69,whites,b,0.84
70,whites,b,0.9
71,whites,w,0.34
72,whites,b,0.6
73,whites,w,0.16
74,whites,w,0.4
75,whites,w,0.34
76,whites,b,0.6
77,whites,w,0.4
78,whites,b,0.66
79,whites,b,0.66
80,whites,w,0.22
81,whites,w,0.34
82,whites,w,0.1
83,whites,b,0.72
84,whites,b,0.84
85,whites,b,0.66
86,whites,b,0.72
87,whites,w,0.4
88,whites,b,0.78
89,whites,w,0.28
90,whites,w,0.28
91,whites,w,0.22
92,whites,b,0.66
93,whites,w,0.1
94,whites,b,0.78
95,whites,w,0.22
96,whites,w,0.4
97,whites,b,0.78
98,whites,w,0.28
99,whites,b,0.9
100,whites,w,0.1
101,whites,w,0.34
102,whites,w,0.34
103,whites,b,0.78
104,whites,b,0.9
105,whites,w,0.1
106,whites,w,0.28
107,whites,b,0.78
108,whites,b,0.72
109,whites,b,0.6
110,whites,b,0.9
111,whites,w,0.16
112,whites,b,0.66
113,whites,b,0.6
114,whites,w,0.4
115,whites,b,0.9
116,whites,w,0.28
117,whites,b,0.72
118,whites,b,0.6
119,whites,w,0.34
