trial,stim_name,target_bg,l_probe,response,resp.time,start_time,stop_time
0,sbcs,b,0.96,Right,2.87059,20231114:160448.682890,20231114:160451.870564
1,sbcs,b,0.96,Right,1.17591,20231114:160451.872101,20231114:160453.413050
2,sbcs,b,0.96,Right,0.97976,20231114:160453.414447,20231114:160454.747262
3,sbcs,b,0.96,Right,0.9482,20231114:160454.748540,20231114:160456.050436
4,sbcs,b,0.93,Right,6.26666,20231114:160456.051560,20231114:160502.664971
5,sbcs,b,0.93,Left,5.25425,20231114:160502.666235,20231114:160508.281554
6,sbcs,b,0.96,Right,1.29257,20231114:160508.282958,20231114:160509.929625
7,sbcs,b,0.93,Right,2.84973,20231114:160509.930812,20231114:160513.115400
8,sbcs,b,0.96,Right,1.2162,20231114:160513.116606,20231114:160514.679408
9,sbcs,b,0.93,Left,7.41108,20231114:160514.680973,20231114:160522.451070
10,sbcs,b,0.93,Left,6.50742,20231114:160524.458506,20231114:160531.300748
11,sbcs,b,0.96,Right,1.02794,20231114:160531.302416,20231114:160532.681855
12,sbcs,b,0.93,Right,3.49976,20231114:160532.683069,20231114:160536.496473
13,sbcs,b,0.93,Right,2.3585,20231114:160536.539416,20231114:160539.246646
14,sbcs,b,0.93,Left,3.17008,20231114:160539.247942,20231114:160542.742986
15,sbcs,b,0.96,Right,1.11355,20231114:160542.744232,20231114:160544.197808
16,sbcs,b,0.93,Right,3.57427,20231114:160544.198168,20231114:160548.105738
17,sbcs,b,0.96,Right,0.92533,20231114:160548.107409,20231114:160549.352355
18,sbcs,b,0.96,Right,0.87797,20231114:160549.353579,20231114:160550.544982
19,sbcs,b,0.93,Right,2.57975,20231114:160550.545753,20231114:160553.461816
