trial,stim_name,target_bg,l_probe,response,resp.time,start_time,stop_time
0,sbcs,b,0.96,Right,24.86601,20231114:151230.738914,20231114:151255.978336
1,sbcs,b,0.93,Left,18.1922,20231114:151256.051697,20231114:151314.556088
2,sbcs,b,0.93,Left,2.12571,20231114:151314.557290,20231114:151317.006778
3,sbcs,b,0.96,Right,0.84327,20231114:151317.008000,20231114:151318.202948
4,sbcs,b,0.93,Right,1.24265,20231114:151318.204162,20231114:151319.762494
5,sbcs,b,0.96,Right,0.82742,20231114:151319.763402,20231114:151320.906817
6,sbcs,b,0.93,Left,1.43997,20231114:151320.908044,20231114:151322.677779
7,sbcs,b,0.96,Right,0.73417,20231114:151322.716295,20231114:151323.838531
8,sbcs,b,0.96,Right,0.9005,20231114:151323.839780,20231114:151325.086112
9,sbcs,b,0.93,Right,1.04793,20231114:151325.087553,20231114:151326.490861
10,sbcs,b,0.93,Left,2.18176,20231114:151329.228096,20231114:151331.725680
11,sbcs,b,0.93,Left,0.89153,20231114:151331.726899,20231114:151332.969872
12,sbcs,b,0.96,Right,0.535,20231114:151332.971110,20231114:151333.847415
13,sbcs,b,0.96,Right,0.7463,20231114:151333.848682,20231114:151334.935573
14,sbcs,b,0.96,Right,0.43964,20231114:151334.936730,20231114:151335.707932
15,sbcs,b,0.93,Left,3.70733,20231114:151335.709254,20231114:151339.732188
16,sbcs,b,0.96,Right,0.76068,20231114:151339.733414,20231114:151340.820743
17,sbcs,b,0.93,Left,1.77023,20231114:151340.822136,20231114:151342.939746
18,sbcs,b,0.93,Right,1.23574,20231114:151342.940958,20231114:151344.499991
19,sbcs,b,0.96,Right,0.5258,20231114:151344.501216,20231114:151345.378551
