trial,stim_name,target_bg,l_probe,response,resp.time,start_time,stop_time
0,sbcs,w,0.22,Left,31.69197,20231031:132424.379727,20231031:132456.413797
1,sbcs,w,0.28,Left,0.34037,20231031:132456.415327,20231031:132457.091136
2,sbcs,w,0.1,Left,0.84186,20231031:132457.092382,20231031:132458.284569
3,sbcs,b,0.66,Right,0.39673,20231031:132458.285766,20231031:132459.007678
4,sbcs,b,0.9,Left,2.09087,20231031:132459.009104,20231031:132501.482534
5,sbcs,b,0.72,Left,0.50013,20231031:132501.537630,20231031:132502.361190
6,sbcs,b,0.66,Left,0.45197,20231031:132502.362578,20231031:132503.135611
7,sbcs,b,0.9,Left,1.71752,20231031:132503.136556,20231031:132505.193038
8,sbcs,b,0.66,Left,0.4387,20231031:132505.194258,20231031:132505.968701
9,sbcs,w,0.34,Left,0.53417,20231031:132505.970172,20231031:132506.846164
10,sbcs,w,0.4,Left,0.31019,20231031:132506.895717,20231031:132507.540277
11,sbcs,b,0.9,Left,2.72013,20231031:132507.541484,20231031:132510.612522
12,sbcs,b,0.78,Left,0.4222,20231031:132510.613723,20231031:132511.418616
13,sbcs,w,0.34,Left,0.65747,20231031:132511.419851,20231031:132512.402159
14,sbcs,b,0.9,Left,2.10993,20231031:132512.453597,20231031:132514.897093
15,sbcs,b,0.6,Left,0.72515,20231031:132514.898454,20231031:132515.943091
16,sbcs,w,0.4,Left,0.47555,20231031:132515.944354,20231031:132516.770537
17,sbcs,b,0.66,Left,0.35195,20231031:132516.771740,20231031:132517.440081
18,sbcs,b,0.6,Left,0.29035,20231031:132517.495102,20231031:132518.111982
19,sbcs,b,0.66,Left,0.27977,20231031:132518.113225,20231031:132518.762285
20,sbcs,b,0.66,Left,0.34679,20231031:132518.763507,20231031:132519.430833
21,sbcs,w,0.1,Left,1.01478,20231031:132519.432064,20231031:132520.812872
22,sbcs,b,0.6,Left,0.80834,20231031:132520.814098,20231031:132521.954225
23,sbcs,w,0.1,Left,0.68719,20231031:132521.955439,20231031:132522.993074
24,sbcs,w,0.28,Left,0.52361,20231031:132522.994296,20231031:132523.872811
25,sbcs,b,0.6,Left,0.46876,20231031:132523.874019,20231031:132524.679098
26,sbcs,b,0.78,Left,0.9251,20231031:132524.680315,20231031:132525.922623
27,sbcs,b,0.9,Right,0.51038,20231031:132525.923847,20231031:132526.751666
28,sbcs,w,0.34,Left,0.40196,20231031:132526.752904,20231031:132527.471359
29,sbcs,b,0.78,Left,0.51785,20231031:132527.472800,20231031:132528.329696
30,sbcs,w,0.16,Left,0.44548,20231031:132528.377944,20231031:132529.151258
31,sbcs,w,0.16,Left,0.29141,20231031:132529.152532,20231031:132529.770027
32,sbcs,b,0.66,Left,0.45018,20231031:132529.771244,20231031:132530.544088
33,sbcs,w,0.22,Left,0.54861,20231031:132530.545344,20231031:132531.455200
