trial,stim_name,target_bg,l_probe,response,resp.time,start_time,stop_time
0,sbcs,w,0.16,Right,2.90885,20231113:175145.987589,20231113:175149.224028
1,sbcs,w,0.22,Left,2.20594,20231113:175149.225492,20231113:175151.782819
2,sbcs,w,0.16,Left,2.30524,20231113:175151.838866,20231113:175154.494350
3,sbcs,w,0.22,Left,1.24477,20231113:175154.495524,20231113:175156.087693
4,sbcs,w,0.1,Right,0.77779,20231113:175156.088882,20231113:175157.182199
5,sbcs,w,0.16,Left,1.80516,20231113:175157.183414,20231113:175159.321848
6,sbcs,b,0.72,Left,1.36253,20231113:175159.323049,20231113:175201.045056
7,sbcs,b,0.78,Left,1.0561,20231113:175201.046269,20231113:175202.451126
8,sbcs,w,0.1,Left,1.83216,20231113:175202.505051,20231113:175204.693910
9,sbcs,b,0.66,Left,0.77503,20231113:175204.695109,20231113:175205.787536
10,sbcs,b,0.84,Right,1.09977,20231113:175205.788726,20231113:175207.246254
11,sbcs,b,0.66,Left,0.63711,20231113:175207.247470,20231113:175208.231505
12,sbcs,w,0.4,Left,0.78198,20231113:175208.232720,20231113:175209.322762
13,sbcs,w,0.4,Left,0.67927,20231113:175209.324009,20231113:175210.363274
14,sbcs,b,0.6,Left,0.60415,20231113:175210.364849,20231113:175211.329350
15,sbcs,b,0.72,Left,0.8213,20231113:175211.330770,20231113:175212.505275
16,sbcs,b,0.78,Left,1.99214,20231113:175212.506005,20231113:175214.851946
17,sbcs,b,0.6,Left,0.61773,20231113:175214.853404,20231113:175215.786593
18,sbcs,w,0.22,Left,2.3977,20231113:175215.787804,20231113:175218.497616
19,sbcs,w,0.1,Left,1.77076,20231113:175218.498826,20231113:175220.612715
20,sbcs,b,0.78,Left,1.42879,20231113:175220.646014,20231113:175222.414278
21,sbcs,w,0.34,Left,0.60934,20231113:175222.415329,20231113:175223.381829
22,sbcs,b,0.66,Left,0.65118,20231113:175223.383030,20231113:175224.370034
23,sbcs,b,0.66,Left,0.59505,20231113:175224.371454,20231113:175225.337208
24,sbcs,b,0.66,Left,0.53949,20231113:175225.338417,20231113:175226.219162
25,sbcs,b,0.78,Left,1.38579,20231113:175226.220752,20231113:175227.970771
26,sbcs,w,0.28,Left,1.02987,20231113:175227.972020,20231113:175229.324244
27,sbcs,b,0.84,Left,1.16173,20231113:175229.325460,20231113:175230.838501
28,sbcs,w,0.28,Left,0.71753,20231113:175230.839746,20231113:175231.875567
29,sbcs,w,0.28,Left,1.22143,20231113:175231.903985,20231113:175233.468926
30,sbcs,w,0.4,Left,0.90021,20231113:175233.470145,20231113:175234.751969
31,sbcs,b,0.6,Left,1.93572,20231113:175234.753166,20231113:175236.997157
32,sbcs,b,0.78,Left,3.93112,20231113:175237.045320,20231113:175241.364934
33,sbcs,w,0.22,Left,1.28816,20231113:175241.366134,20231113:175242.975930
34,sbcs,w,0.34,Left,0.63657,20231113:175242.977301,20231113:175243.997025
35,sbcs,b,0.6,Left,0.87507,20231113:175243.998223,20231113:175245.192963
36,sbcs,b,0.72,Left,0.83968,20231113:175245.194453,20231113:175246.393080
37,sbcs,w,0.34,Left,0.92319,20231113:175246.394312,20231113:175247.641220
38,sbcs,b,0.9,Right,0.96433,20231113:175247.641858,20231113:175248.938983
39,sbcs,w,0.1,Left,6.21957,20231113:175248.969957,20231113:175255.500777
40,sbcs,b,0.9,Right,0.88382,20231113:175255.501953,20231113:175256.694301
41,sbcs,b,0.9,Right,0.8346,20231113:175256.695571,20231113:175257.870870
42,sbcs,b,0.9,Right,1.83972,20231113:175257.872126,20231113:175300.058984
43,sbcs,w,0.28,Left,0.58791,20231113:175300.060240,20231113:175300.991559
44,sbcs,w,0.22,Left,0.63074,20231113:175300.992778,20231113:175301.979987
45,sbcs,w,0.1,Left,1.8863,20231113:175301.981216,20231113:175304.223518
46,sbcs,w,0.1,Left,1.37462,20231113:175304.224763,20231113:175305.943238
47,sbcs,b,0.66,Left,1.22865,20231113:175305.944465,20231113:175307.505175
48,sbcs,w,0.16,Left,2.03996,20231113:175307.506422,20231113:175309.853145
49,sbcs,b,0.66,Left,1.81491,20231113:175309.854369,20231113:175311.990699
50,sbcs,w,0.16,Left,1.30169,20231113:175311.991931,20231113:175313.636561
51,sbcs,w,0.4,Left,1.2017,20231113:175313.637993,20231113:175315.145352
52,sbcs,w,0.4,Left,0.67363,20231113:175315.146717,20231113:175316.131265
53,sbcs,w,0.16,Left,1.34596,20231113:175316.132152,20231113:175317.831355
54,sbcs,b,0.6,Left,0.80656,20231113:175317.831749,20231113:175319.002061
55,sbcs,b,0.6,Left,0.62804,20231113:175319.035741,20231113:175320.019458
56,sbcs,b,0.72,Left,2.9164,20231113:175320.020688,20231113:175323.255825
57,sbcs,b,0.78,Left,1.92431,20231113:175323.257048,20231113:175325.499075
58,sbcs,w,0.22,Left,0.66023,20231113:175325.500320,20231113:175326.485999
59,sbcs,w,0.28,Left,0.73852,20231113:175326.487450,20231113:175327.578426
60,sbcs,b,0.78,Left,1.24344,20231113:175331.942746,20231113:175333.502795
61,sbcs,b,0.72,Left,0.85317,20231113:175333.504062,20231113:175334.728869
62,sbcs,b,0.84,Left,3.31764,20231113:175334.730080,20231113:175338.382894
63,sbcs,w,0.1,Left,1.46194,20231113:175338.384301,20231113:175340.156395
