IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 2.666666666666666578e-03
1.525902189669642176e-05 2.352941176470588203e-02 1.099999999999999763e-02
3.051804379339284352e-05 3.529411764705882304e-02 2.066666666666666652e-02
4.577706569008926528e-05 3.921568627450980338e-02 2.733333333333333448e-02
6.103608758678568703e-05 4.313725490196078372e-02 3.633333333333332860e-02
7.629510948348210879e-05 4.705882352941176405e-02 4.566666666666666791e-02
9.155413138017853055e-05 5.098039215686274439e-02 5.700000000000000205e-02
1.220721751735713741e-04 5.490196078431372473e-02 6.900000000000000577e-02
1.373311970702677958e-04 5.882352941176470507e-02 9.033333333333333492e-02
1.831082627603570611e-04 6.274509803921568540e-02 1.039999999999999952e-01
2.136263065537499046e-04 6.666666666666666574e-02 1.286666666666666792e-01
2.594033722438391699e-04 7.058823529411764608e-02 1.533333333333333215e-01
3.051804379339284352e-04 7.450980392156862642e-02 1.889999999999999736e-01
3.814755474174105440e-04 7.843137254901960675e-02 2.256666666666666821e-01
4.577706569008926528e-04 8.235294117647058709e-02 2.723333333333333717e-01
5.493247882810711833e-04 8.627450980392156743e-02 3.183333333333333570e-01
6.408789196612497139e-04 9.019607843137254777e-02 3.726666666666666461e-01
7.476920729381246120e-04 9.411764705882352811e-02 4.253333333333333410e-01
8.545052262149996185e-04 9.803921568627450844e-02 5.133333333333333082e-01
1.037613488975356680e-03 1.019607843137254888e-01 5.893333333333332646e-01
1.190203707942321006e-03 1.058823529411764691e-01 6.760000000000000453e-01
1.358052948805981482e-03 1.098039215686274495e-01 7.709999999999999076e-01
1.556420233463035128e-03 1.137254901960784298e-01 8.830000000000000071e-01
1.770046540016784924e-03 1.176470588235294101e-01 9.983333333333334059e-01
1.998931868467231088e-03 1.215686274509803905e-01 1.111666666666666581e+00
2.227817196917677468e-03 1.254901960784313708e-01 1.208333333333333259e+00
2.426184481574731114e-03 1.294117647058823373e-01 1.346666666666666679e+00
2.700846875715266597e-03 1.333333333333333315e-01 1.496000000000000218e+00
3.006027313649195249e-03 1.372549019607843257e-01 1.668333333333333224e+00
3.356984817273213004e-03 1.411764705882352922e-01 1.823666666666666769e+00
3.662165255207141222e-03 1.450980392156862586e-01 2.028000000000000025e+00
4.074158846417944881e-03 1.490196078431372528e-01 2.194333333333333247e+00
4.409857328145265834e-03 1.529411764705882470e-01 2.419999999999999929e+00
4.852368963149462228e-03 1.568627450980392135e-01 2.583000000000000185e+00
5.188067444876783181e-03 1.607843137254901800e-01 2.830333333333333368e+00
5.676356145571068677e-03 1.647058823529411742e-01 3.073000000000000398e+00
6.164644846265354174e-03 1.686274509803921684e-01 3.336000000000000298e+00
6.698710612649728773e-03 1.725490196078431349e-01 3.583333333333333481e+00
7.186999313344014269e-03 1.764705882352941013e-01 3.865666666666667250e+00
7.766842145418478838e-03 1.803921568627450955e-01 4.131000000000000227e+00
8.285648889906157069e-03 1.843137254901960898e-01 4.473666666666666458e+00
8.987563897154191711e-03 1.882352941176470562e-01 4.741333333333333400e+00
9.521629663538568045e-03 1.921568627450980227e-01 5.065333333333332355e+00
1.016250858319981722e-02 1.960784313725490169e-01 5.431333333333333790e+00
1.089494163424124459e-02 2.000000000000000111e-01 5.770999999999999908e+00
1.158159761959258460e-02 2.039215686274509776e-01 6.129666666666667929e+00
1.229877164873731561e-02 2.078431372549019440e-01 6.467999999999999972e+00
1.298542763408865562e-02 2.117647058823529382e-01 6.856999999999999318e+00
1.376363775082017210e-02 2.156862745098039325e-01 7.309333333333333904e+00
1.466392004272526126e-02 2.196078431372548989e-01 7.692000000000000171e+00
1.544213015945677947e-02 2.235294117647058654e-01 8.136000000000001009e+00
1.632715342946517226e-02 2.274509803921568596e-01 8.590666666666665563e+00
1.724269474326695778e-02 2.313725490196078538e-01 9.003000000000000114e+00
1.806668192568856163e-02 2.352941176470588203e-01 9.481999999999999318e+00
1.902800030518043625e-02 2.392156862745097867e-01 9.953333333333333144e+00
1.997405966277561451e-02 2.431372549019607809e-01 1.049333333333333407e+01
2.105745021744106354e-02 2.470588235294117752e-01 1.100000000000000000e+01
2.207980468451972364e-02 2.509803921568627416e-01 1.144333333333333336e+01
2.296482795452811643e-02 2.549019607843137081e-01 1.188333333333333286e+01
2.384985122453650574e-02 2.588235294117646745e-01 1.251666666666666572e+01
2.511635004196231119e-02 2.627450980392156965e-01 1.302333333333333343e+01
2.613870450904097129e-02 2.666666666666666630e-01 1.365000000000000036e+01
2.738994430457007689e-02 2.705882352941176294e-01 1.417999999999999972e+01
2.845807583733882609e-02 2.745098039215686514e-01 1.485666666666666735e+01
2.981612878614480974e-02 2.784313725490196179e-01 1.542999999999999972e+01
3.096055542839704078e-02 2.823529411764705843e-01 1.610666666666666558e+01
3.231860837720302443e-02 2.862745098039215508e-01 1.676000000000000156e+01
3.363088426031891204e-02 2.901960784313725172e-01 1.748000000000000043e+01
3.508049134050507389e-02 2.941176470588235392e-01 1.812999999999999901e+01
3.639276722362096844e-02 2.980392156862745057e-01 1.881999999999999673e+01
3.776607919432364152e-02 3.019607843137254721e-01 1.950666666666666416e+01
3.915465018692301791e-02 3.058823529411764941e-01 2.025333333333333385e+01
4.065003433279926887e-02 3.098039215686274606e-01 2.107999999999999829e+01
4.231326771953917987e-02 3.137254901960784270e-01 2.178000000000000114e+01
4.371709773403524568e-02 3.176470588235293935e-01 2.267333333333333201e+01
4.550240329594872762e-02 3.215686274509803599e-01 2.338333333333333641e+01
4.692149233234149674e-02 3.254901960784313819e-01 2.426999999999999957e+01
4.870679789425497869e-02 3.294117647058823484e-01 2.518666666666666742e+01
5.055313954375524610e-02 3.333333333333333148e-01 2.591333333333333755e+01
5.200274662394140796e-02 3.372549019607843368e-01 2.675000000000000000e+01
5.368123903257800839e-02 3.411764705882353033e-01 2.768666666666666742e+01
5.555809872587166853e-02 3.450980392156862697e-01 2.863333333333333641e+01
5.746547646295872142e-02 3.490196078431372362e-01 2.955333333333333101e+01
5.931181811245898883e-02 3.529411764705882026e-01 3.041999999999999815e+01
6.105134660868238167e-02 3.568627450980392246e-01 3.141999999999999815e+01
6.305027847714961275e-02 3.607843137254901911e-01 3.230666666666666487e+01
6.483558403906310164e-02 3.647058823529411575e-01 3.337333333333333485e+01
6.697184710460059309e-02 3.686274509803921795e-01 3.445333333333332604e+01
6.913862821393149116e-02 3.725490196078431460e-01 3.540000000000000568e+01
7.104600595101853711e-02 3.764705882352941124e-01 3.644999999999999574e+01
7.315175097276264971e-02 3.803921568627450789e-01 3.756666666666666998e+01
7.539482719157701573e-02 3.843137254901960453e-01 3.869999999999999574e+01
7.766842145418478838e-02 3.882352941176470673e-01 3.966999999999999460e+01
7.960631723506522706e-02 3.921568627450980338e-01 4.092666666666666941e+01
8.213931486991683795e-02 3.960784313725490002e-01 4.214000000000000057e+01
8.456549935149157426e-02 4.000000000000000222e-01 4.328666666666666885e+01
8.686961165789272576e-02 4.039215686274509887e-01 4.444999999999999574e+01
8.920424200808728388e-02 4.078431372549019551e-01 4.546000000000000085e+01
9.123369192034790076e-02 4.117647058823529216e-01 4.680000000000000426e+01
9.391927977416647533e-02 4.156862745098038880e-01 4.808666666666666600e+01
9.649805447470817532e-02 4.196078431372549100e-01 4.921666666666666146e+01
9.877164873731593409e-02 4.235294117647058765e-01 5.050333333333333030e+01
1.013504234378576341e-01 4.274509803921568429e-01 5.195333333333334025e+01
1.042648966201266542e-01 4.313725490196078649e-01 5.332666666666667510e+01
1.070267795834286967e-01 4.352941176470588314e-01 5.446999999999999886e+01
1.093156328679331657e-01 4.392156862745097978e-01 5.596666666666666856e+01
1.123216601815823640e-01 4.431372549019607643e-01 5.715666666666666629e+01
1.147020675974669973e-01 4.470588235294117307e-01 5.864666666666666828e+01
1.176928358892194992e-01 4.509803921568627527e-01 5.991333333333333400e+01
1.202410925459678065e-01 4.549019607843137192e-01 6.142333333333333911e+01
1.232623788815137011e-01 4.588235294117646856e-01 6.286333333333332263e+01
1.261615930418860110e-01 4.627450980392157076e-01 6.463000000000000966e+01
1.297016861219195960e-01 4.666666666666666741e-01 6.590333333333333599e+01
1.322652018005645858e-01 4.705882352941176405e-01 6.742000000000000171e+01
1.353017471580071629e-01 4.745098039215686070e-01 6.901999999999999602e+01
1.385214007782101242e-01 4.784313725490195734e-01 7.069000000000001194e+01
1.418631265735866287e-01 4.823529411764705954e-01 7.208666666666665890e+01
1.446707866025787881e-01 4.862745098039215619e-01 7.370000000000000284e+01
1.479056992446784180e-01 4.901960784313725283e-01 7.558666666666665890e+01
1.516899366750591172e-01 4.941176470588235503e-01 7.691666666666667140e+01
1.543602655069810092e-01 4.980392156862745168e-01 7.856000000000000227e+01
1.576562142366674246e-01 5.019607843137254832e-01 8.047666666666667368e+01
1.615014877546349370e-01 5.058823529411764497e-01 8.149333333333333940e+01
1.635461966887922503e-01 5.098039215686274161e-01 8.320666666666666345e+01
1.669794766155489329e-01 5.137254901960783826e-01 8.495000000000000284e+01
1.704890516517891252e-01 5.176470588235293491e-01 8.681000000000000227e+01
1.742122529945830389e-01 5.215686274509804266e-01 8.823333333333334849e+01
1.770656900892652874e-01 5.254901960784313930e-01 9.036666666666667425e+01
1.813534752422369667e-01 5.294117647058823595e-01 9.220333333333331893e+01
1.850461585412375154e-01 5.333333333333333259e-01 9.382333333333333769e+01
1.882963302052338417e-01 5.372549019607842924e-01 9.583999999999998920e+01
1.923399710078584068e-01 5.411764705882352589e-01 9.807333333333332348e+01
1.968261234454871389e-01 5.450980392156862253e-01 9.979000000000000625e+01
2.002594033722438494e-01 5.490196078431373028e-01 1.013666666666666742e+02
2.034332799267566938e-01 5.529411764705882693e-01 1.035333333333333456e+02
2.077821011673151863e-01 5.568627450980392357e-01 1.055333333333333456e+02
2.117952239261463310e-01 5.607843137254902022e-01 1.075999999999999801e+02
2.159304188601510743e-01 5.647058823529411686e-01 1.093333333333333286e+02
2.194094758525978461e-01 5.686274509803921351e-01 1.115333333333333172e+02
2.238345922026398205e-01 5.725490196078431016e-01 1.136333333333333258e+02
2.280460822461280179e-01 5.764705882352940680e-01 1.156999999999999886e+02
2.321965362020294577e-01 5.803921568627450345e-01 1.181666666666666714e+02
2.371404592965590807e-01 5.843137254901961120e-01 1.202999999999999972e+02
2.414282444495307878e-01 5.882352941176470784e-01 1.226666666666666714e+02
2.461738002594033858e-01 5.921568627450980449e-01 1.241666666666666714e+02
