Intensity Luminance0 Luminance1 Luminance2
0.6549019607843137 163.5 163.5 163.7
0.25098039215686274 11.43 11.44 11.46
0.32941176470588235 25.19 25.18 25.19
0.6588235294117647 166.4 166.3 166.1
0.14509803921568626 2.027 2.03 2.027
0.5019607843137255 80.52 80.42 80.49
0.5411764705882353 98.08 98.06 98.08
0.8941176470588235 374.8 374.2 373.9
0.39215686274509803 40.87 40.97 40.94
0.5882352941176471 122.8 122.6 122.6
0.3176470588235294 22.63 22.69 22.7
0.6980392156862745 194.0 193.8 193.6
0.4627450980392157 64.61 64.62 64.66
0.7647058823529411 247.2 246.9 246.7
0.023529411764705882 0.009 0.011 0.013
0.050980392156862744 0.057 0.057 0.057
0.21568627450980393 7.307 7.315 7.306
0.8823529411764706 361.3 361.2 360.9
0.807843137254902 285.7 286.0 286.0
0.5176470588235293 86.7 86.94 86.79
0.396078431372549 42.14 42.17 42.11
0.2901960784313725 17.47 17.5 17.47
0.8 279.8 279.2 279.1
0.7764705882352941 257.9 258.3 258.1
0.27058823529411763 14.17 14.16 14.21
0.1764705882352941 3.838 3.879 3.88
0.803921568627451 282.4 282.5 282.3
0.3686274509803922 34.42 34.43 34.51
0.1568627450980392 2.595 2.546 2.608
0.24705882352941178 11.0 11.0 11.0
0.43137254901960786 53.35 53.29 53.34
0.054901960784313725 0.068 0.07 0.069
0.7803921568627451 261.5 261.1 261.1
0.42745098039215684 51.89 51.98 51.99
0.6392156862745098 153.3 153.2 153.0
0.18823529411764706 4.744 4.746 4.734
0.16078431372549018 2.83 2.833 2.828
0.09411764705882353 0.433 0.409 0.434
0.49019607843137253 75.64 75.63 75.49
0.8784313725490196 357.6 357.2 357.2
0.9490196078431372 439.4 437.5 437.5
0.9921568627450981 491.0 491.1 490.8
0.12941176470588234 1.347 1.35 1.343
0.9686274509803922 462.3 462.1 461.8
0.21176470588235294 6.85 6.87 6.851
0.9098039215686274 391.7 391.4 391.6
0.6352941176470588 150.5 150.6 150.6
0.03137254901960784 0.015 0.017 0.016
0.8509803921568627 328.4 328.1 328.4
0.8627450980392157 340.4 341.8 341.5
0.8313725490196078 310.1 310.2 309.3
0.9019607843137255 382.5 382.1 382.4
0.7058823529411764 199.4 199.4 199.3
0.38431372549019605 38.63 38.73 38.74
0.08235294117647059 0.273 0.271 0.273
0.6313725490196078 148.2 148.1 148.1
0.27450980392156865 14.84 14.86 14.87
0.9882352941176471 487.0 485.9 486.8
0.2196078431372549 7.684 7.689 7.703
0.043137254901960784 0.037 0.036 0.036
0.403921568627451 44.45 44.44 44.46
0.6196078431372549 141.1 141.0 140.8
0.0196078431372549 0.005 0.008 0.008
0.19607843137254902 5.435 5.432 5.427
0.9215686274509803 404.2 404.4 403.9
0.3411764705882353 27.61 27.72 27.73
0.8117647058823529 289.8 289.2 288.7
0.4 43.21 43.32 43.33
0.7843137254901961 264.6 264.0 263.9
0.15294117647058825 2.417 2.421 2.422
0.2588235294117647 12.51 12.5 12.54
0.5843137254901961 120.3 120.3 120.3
0.34901960784313724 29.5 29.55 29.61
0.4784313725490196 70.75 70.67 70.65
0.06666666666666667 0.128 0.13 0.128
0.580392156862745 118.2 118.1 118.2
0.1843137254901961 4.474 4.475 4.472
0.9333333333333333 418.0 417.7 417.6
0.9372549019607843 421.9 422.2 421.8
0.996078431372549 495.4 495.0 495.1
0.20392156862745098 6.123 6.134 6.132
0.34509803921568627 28.67 28.61 28.62
0.22745098039215686 8.591 8.589 8.592
0.7607843137254902 243.3 243.1 243.1
0.11764705882352941 0.997 0.999 0.999
0.8980392156862745 377.6 377.4 376.9
0.5686274509803921 111.3 111.6 111.7
0.8862745098039215 364.8 364.2 364.4
0.2823529411764706 16.06 16.13 16.13
0.5450980392156862 99.82 99.8 99.75
0.5254901960784314 90.4 90.34 90.36
0.058823529411764705 0.089 0.091 0.091
0.5294117647058824 92.24 92.16 92.21
0.9803921568627451 475.9 474.8 474.7
0.8196078431372549 296.8 297.2 297.4
0.9411764705882353 427.5 427.3 427.2
0.6784313725490196 179.1 179.2 179.3
0.7686274509803921 250.1 250.2 250.0
0.13725490196078433 1.662 1.671 1.672
0.00392156862745098 0.002 0.004 0.004
0.01568627450980392 0.006 0.007 0.008
0.30980392156862746 21.1 21.08 21.06
0.4392156862745098 56.01 55.93 55.96
0.24313725490196078 10.49 10.49 10.5
0.2 5.771 5.772 5.77
0.11372549019607843 0.886 0.883 0.88
0.22352941176470587 8.14 8.136 8.132
0.9529411764705882 441.2 441.0 441.0
0.3568627450980392 31.36 31.44 31.46
0.5058823529411764 81.56 81.44 81.48
0.26666666666666666 13.64 13.65 13.66
0.9450980392156862 432.2 431.9 431.7
0.5098039215686274 83.14 83.26 83.22
0.6862745098039216 184.8 184.7 184.8
